Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
githubNabber,bottom,5,0.0238,0.0088,0.0229
gitbook-plugin-olark,bottom,5,0.0218,0.0031,0.0239
flat-cache,top,5,0.0213,0.0053,0.0206
node-file-lookup,bottom,5,0.0202,0.0098,0.0254
browserify-cipher,top,5,0.0184,0.0041,0.0165
get-caller-file,top,5,0.0166,0.0232,0.0056
file-entry-cache,top,5,0.0162,0.0137,0.0228
teamwork,middle,5,0.0155,0.0132,0.0106
libreoffice-convert,bottom,5,0.0142,0.0078,0.0143
conflab,bottom,5,0.0139,0.0063,0.017
bem-deps,bottom,5,0.0121,0.0096,0.0178
dtools,bottom,5,0.0081,0.0095,0.0126
miller-rabin,top,5,0.0077,0.0125,-0.0005
krampus,bottom,5,0.0034,0.0241,-0.0116
broccoli-string-replace,middle,5,0.0003,0.0104,-0.0073
filefog-onedrive,bottom,5,0.0002,0.0033,0.0003
ampersand-collection-pouchdb-mixin,bottom,5,-0.0038,0.0041,-0.0026
pem-jwk,middle,5,-0.0079,0.0031,-0.0092
couchdb-sync,bottom,5,-0.0122,0.005,-0.0137
hookies,bottom,5,-0.0467,0.0063,-0.0444
baucis-vivify,bottom,5,-0.0518,0.0307,-0.0651
browserify-rsa,top,5,-0.0527,0.0028,-0.0532
game-grid,bottom,5,-0.0656,0.0023,-0.0653
autocode,bottom,5,-0.0779,0.0024,-0.0775
tacks,middle,5,-0.086,0.0068,-0.0862
